Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
NC18 - Verify Customer Password – Password First character can not have space,N2-90,10332,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 11:16 PM,13/Mar/23 11:16 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname:  tran

name: phu

email: [tranphu04@gmail.com|mailto:tranphu0511@gmail.com]

password: (space)phuem12

re-enter the password: (space)phuem12",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,,- Still check but not showing error message,,,,,,,,,,BAN-8,New Customer,,,"error message: ""password field First character can not have space""",,,,,0|i000ty:zzzzzzz,,N2 Sprint 1,,,,,,,,Unit,"1) Enter in the Customer Password field First character have space
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Pass,,,To Do
NC17 - Verify Customer Password – Password Code must have 5 Digits,N2-89,10331,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 11:12 PM,13/Mar/23 11:12 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname:  tran

name: phu

email: [tranphu04@gmail.com|mailto:tranphu0511@gmail.com]

password: phuem12

re-enter the password: phuem12",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,,- Still check but not showing error message,,,,,,,,,,BAN-8,New Customer,,,"error message: ""password field must be 5 digits or more""",,,,,0|i000ty:zzzzzzy,,N2 Sprint 1,,,,,,,,Unit,"1) Enter in the Customer Password field 4 digits
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Pass,,,To Do
NC16 - Verify Customer Password – Password Special characters are not allowed,N2-88,10330,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 11:07 PM,13/Mar/23 11:07 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname:  tran

name: phu

email: [tranphu04@gmail.com|mailto:tranphu0511@gmail.com]

password: MyPassword!@ 123

re-enter the password: MyPassword!@ 123",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,,- Still check but not showing error message,,,,,,,,,,BAN-8,New Customer,,,"- The system displays the ""Invalid character"" error message on the user interface.
- The system does not allow the operation and requires the user to re-enter the valid Client Password.",,,,,0|i000ty:zzzzzzx,,N2 Sprint 1,,,,,,,,Unit,"1) Enter in the Customer Password field an invalid string of characters, such as a string of special characters or a space.
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Pass,,,To Do
NC15 - Verify Customer Password – Password Code must not be blank,N2-87,10329,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 11:05 PM,13/Mar/23 11:05 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname:  tran

name: phu

email: [tranphu04@gmail.com|mailto:tranphu0511@gmail.com]

password: (blank)

re-enter the password: (blank)",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,,- Still check but not showing error message,,,,,,,,,,BAN-8,New Customer,,,"error message ""Password must not be blank""",,,,,0|i000ty:zzzzzzv,,N2 Sprint 1,,,,,,,,Unit,"1) Do not enter a value in the Customer Password field.
2) Click Register
3) Check the error message displayed on the user interface.",Pass,,,To Do
NC14 - Verify Customer Password – Password Characters are not allowed,N2-86,10328,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 10:38 PM,13/Mar/23 10:38 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname:  tran

name: phu

email: [tranphu04@gmail.com|mailto:tranphu0511@gmail.com]

password: MyPassword!@ 123

re-enter the password: MyPassword!@ 123",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,,- Still check but not showing error message,,,,,,,,,,BAN-8,New Customer,,,"- The system displays the ""Invalid character"" error message on the user interface.
- The system does not allow the operation and requires the user to re-enter the valid Client Password.",,,,,0|i000ty:zzzzzzr,,N2 Sprint 1,,,,,,,,Unit,"1) Enter in the Customer Password field an invalid string of characters, such as a string of special characters or a space.
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Pass,,,To Do
NC13 - Verify Customer Email – First character can not have space,N2-85,10327,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 10:26 PM,13/Mar/23 10:26 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname:  tran

name: phu

email: (First character have space)[tranphu03@gmail.com|mailto:tranphu051120011@gmail.com]

password: phu12

re-enter the password: phu12

!image-20230313-152518.png|width=516,height=398!",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,13/Mar/23 10:26 PM;62b44cfd5479e75d631d6f97;image-20230313-152518.png;https://nguyenthanhluan.atlassian.net/secure/attachment/10015/image-20230313-152518.png,"You can still enter the first character with a space, but when you log in, the first space is automatically lost.",,,,,,,,,,BAN-8,New Customer,,,"error message ""Email First character cannot have space""",,,,,0|i000ty:zzzzzzi,,N2 Sprint 1,,,,,,,,Unit,"1) Enter in the Customer Email First character have space.
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Fail,,,To Do
NA12 - Verify Customer Email – Email ID is not valid,N2-84,10326,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 10:21 PM,13/Mar/23 10:21 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname: tran

name: phu

email: tranphu2023@gmail

password: phu12

re-enter the password: phu12

!image-20230313-152001.png|width=485,height=393!",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,13/Mar/23 10:21 PM;62b44cfd5479e75d631d6f97;image-20230313-152001.png;https://nguyenthanhluan.atlassian.net/secure/attachment/10014/image-20230313-152001.png,- Still check but not showing error message,,,,,,,,,,BAN-8,New Customer,,,"error message ""Invalid Email"" ",,,,,0|i000ty:zzzzzz,,N2 Sprint 1,,,,,,,,Unit,"1) Enter an invalid email
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Pass,,,To Do
NA11 - Verify Customer Email – Customer Email must not be blank,N2-83,10325,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 10:18 PM,13/Mar/23 10:18 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname: tran

name: phu

email: (blank)

password: phu12

re-enter the password: phu12

!image-20230313-151652.png|width=537,height=392!",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,13/Mar/23 10:18 PM;62b44cfd5479e75d631d6f97;image-20230313-151652.png;https://nguyenthanhluan.atlassian.net/secure/attachment/10013/image-20230313-151652.png,- Still check but not showing error message,,,,,,,,,,BAN-8,New Customer,,,"error message ""Email must not be blank""",,,,,0|i000ty:zzzzzy,,N2 Sprint 1,,,,,,,,Unit,"1) Blank the Customer Email field.
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Pass,,,To Do
NC10 - Verify Customer Name – First character cannot have space,N2-82,10324,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 10:13 PM,13/Mar/23 10:13 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname:  tran(First character have space)

name: phu

email: [tranphu02@gmail.com|mailto:tranphu0511@gmail.com]

password: phu12

re-enter the password: phu12

!image-20230313-151223.png|width=890,height=478!",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,13/Mar/23 10:13 PM;62b44cfd5479e75d631d6f97;image-20230313-151223.png;https://nguyenthanhluan.atlassian.net/secure/attachment/10012/image-20230313-151223.png,"You can still enter the first character with a space, but when you log in, the first space is automatically lost.",,,,,,,,,,BAN-8,New Customer,,,"error message ""Name First character cannot have space""",,,,,0|i000ty:zzzzzx,,N2 Sprint 1,,,,,,,,Unit,"1) Enter in the Customer Name First character have space.
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Fail,,,To Do
NA09 - Verify Customer Name – Customer name must not be blank,N2-81,10323,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 10:09 PM,13/Mar/23 10:09 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname: tran

name: (blank)

email: [tranphu1@gmail.com|mailto:tranphu1@gmail.com]

password: phu12

re-enter the password: phu12

!image-20230313-150847.png|width=925,height=471!",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,13/Mar/23 10:09 PM;62b44cfd5479e75d631d6f97;image-20230313-150847.png;https://nguyenthanhluan.atlassian.net/secure/attachment/10011/image-20230313-150847.png,can still register the normal,,,,,,,,,,BAN-8,New Customer,,,"error message ""Name must not be blank""",,,,,0|i000ty:zzzzzv,,N2 Sprint 1,,,,,,,,Unit,"1) Blank the Customer Name field.
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Fail,,,To Do
